# date	 open	 high	 low	 close	 adjClose	 volume
2021-05-03    18.560    19.250    18.240    18.910    18.903 7035600
2021-05-04    19.000    19.110    18.240    18.380    18.373 4495700
2021-05-05    18.480    19.090    18.120    19.010    19.010 4288800
2021-05-06    18.980    19.490    17.840    18.080    18.080 5505500
2021-05-07    18.210    18.450    17.900    18.270    18.270 3004200
2021-05-10    18.710    18.920    17.410    17.530    17.530 6622000
2021-05-11    17.200    17.460    16.860    17.280    17.280 3757400
2021-05-12    17.320    17.940    16.760    16.910    16.910 5068400
2021-05-13    17.100    18.300    17.000    17.870    17.870 6646200
2021-05-14    18.180    18.290    17.340    17.450    17.450 2500800
2021-05-17    17.430    18.250    16.820    18.090    18.090 6898000
2021-05-18    18.100    19.390    17.940    19.250    19.250 8261100
2021-05-19    19.020    19.690    18.740    19.070    19.070 7791400
2021-05-20    19.100    20.830    19.100    20.830    20.830 12125900
2021-05-21    20.850    21.390    20.290    21.150    21.150 9203300 
2021-05-24    21.310    22.610    20.960    22.610    22.610 11514200
2021-05-25    22.610    23.180    22.290    22.530    22.530 7256200
2021-05-26    22.650    23.600    22.410    23.470    23.470 9202700
2021-05-27    23.480    23.600    22.670    23.120    23.120 5022800
2021-05-28    23.180    23.300    22.440    22.640    22.640 4659500
