# date	 open	 high	 low	 close	 adjClose	 volume	 5-day moving average close	 20-day moving average close
2020-04-13     5.100     5.600     5.030     5.460     5.346 3698200     5.460     5.460 
2020-04-14     5.650     5.900     5.650     5.810     5.688 9044200     5.635     5.635 
2020-04-15     5.650     5.870     5.520     5.700     5.581 3041400     5.657     5.657 
2020-04-16     5.920     5.990     5.580     5.730     5.610 2730900     5.675     5.675 
2020-04-17     5.850     6.430     5.680     5.760     5.639 12098300     5.692     5.692 
2020-04-20     5.650     5.930     5.620     5.700     5.581 3111900     5.740     5.693 
2020-04-22     5.730     5.830     5.550     5.610     5.492 6910500     5.700     5.681 
2020-04-23     5.700     5.780     5.260     5.400     5.287 3222400     5.640     5.646 
2020-04-24     5.340     5.420     4.770     4.990     4.885 3983700     5.492     5.573 
2020-04-27     5.110     5.210     4.830     5.100     4.993 3858600     5.360     5.526 
2020-04-28     5.220     5.420     5.120     5.350     5.238 4375500     5.290     5.510 
2020-04-29     5.480     5.570     5.270     5.500     5.385 3217300     5.268     5.509 
2020-04-30     5.350     5.450     5.030     5.030     4.925 6718600     5.194     5.472 
2020-05-04     4.900     4.960     4.810     4.930     4.827 2319100     5.182     5.434 
2020-05-05     5.020     5.110     4.880     4.960     4.856 3012200     5.154     5.402 
2020-05-06     4.950     4.970     4.780     4.850     4.748 1960900     5.054     5.368 
2020-05-07     5.200     5.200     4.850     4.860     4.761 5317700     4.926     5.338 
2020-05-08     4.910     4.960     4.710     4.830     4.731 4531700     4.886     5.309 
2020-05-11     4.810     4.890     4.720     4.810     4.712 2695100     4.862     5.283 
2020-05-12     4.820     4.890     4.720     4.750     4.653 2582800     4.820     5.257 
2020-05-13     4.760     4.840     4.520     4.590     4.496 4602000     4.768     5.213 
2020-05-14     4.520     4.810     4.390     4.810     4.712 2943200     4.758     5.163 
2020-05-15     4.790     4.880     4.610     4.770     4.673 1931900     4.746     5.117 
2020-05-18     4.880     5.120     4.710     5.090     4.986 3552900     4.802     5.085 
2020-05-19     5.080     5.160     4.960     5.050     4.947 2275900     4.862     5.049 
2020-05-20     5.080     5.120     4.920     5.090     4.986 3208600     4.962     5.019 
2020-05-21     5.080     5.350     5.060     5.350     5.241 4569000     5.070     5.005 
2020-05-22     5.290     5.410     5.060     5.150     5.045 2726400     5.146     4.993 
2020-05-25     5.320     5.450     5.270     5.370     5.260 3462300     5.202     5.012 
2020-05-26     5.510     5.630     5.110     5.210     5.104 4196300     5.234     5.018 
2020-05-27     5.320     5.730     5.270     5.700     5.584 6352300     5.356     5.035 
2020-05-28     5.660     5.820     5.640     5.690     5.574 3999900     5.424     5.045 
2020-05-29     5.680     5.780     5.480     5.600     5.486 16968300     5.514     5.073 
2020-06-01     5.650     6.210     5.570     6.000     5.878 6158600     5.640     5.127 
2020-06-02     6.280     7.150     6.280     6.940     6.798 6745900     5.986     5.226 
2020-06-03     7.410     8.450     7.210     8.400     8.229 13470200     6.526     5.403 
