# date	 open	 high	 low	 close	 adjClose	 volume	 STOCHASTIC
2020-08-13    37.430    38.270    37.370    37.820    37.820 13259400    50.852
2020-08-14    37.740    37.960    37.280    37.900    37.900 10377300    61.648
2020-08-17    37.950    38.090    37.270    37.970    37.970 10188500    63.921
2020-08-18    38.280    38.460    37.740    38.010    38.010 8572500    65.909
2020-08-19    38.090    39.520    38.060    38.890    38.890 17077200    60.982
2020-08-20    38.620    39.000    38.300    38.960    38.960 7745400    83.721
2020-08-21    38.990    39.390    38.700    39.260    39.260 9758600    85.530
2020-08-24    39.680    40.800    39.640    40.490    40.490 20496600    70.097
2020-08-25    40.440    40.700    39.320    40.550    40.550 12470500    92.939
2020-08-26    40.550    41.330    40.000    41.080    41.080 12532500    83.884
2020-08-27    40.970    41.250    40.070    40.390    40.390 13055000    94.589
2020-08-28    40.500    41.170    40.420    41.070    41.070 8024400    79.654
2020-08-31    40.990    41.070    40.570    40.580    40.580 7468300    94.372
2020-09-01    40.610    41.250    40.140    41.150    41.150 10468000    83.370
2020-09-02    41.520    44.090    41.360    43.670    43.670 26800000    56.892
2020-09-03    42.740    43.000    40.960    41.630    41.630 18760800    93.842
2020-09-04    41.200    41.490    38.430    39.870    39.870 17825000    63.930
2020-09-08    38.520    39.180    38.100    38.190    38.190 16117300    33.543
2020-09-09    38.850    39.810    38.330    39.560    39.560 10744000     2.156
2020-09-10    39.790    40.400    38.820    38.950    38.950 10412300    24.374
2020-09-11    39.240    39.490    38.510    38.930    38.930 9885500    14.190
2020-09-14    39.410    39.590    38.550    38.770    38.770 9418400    13.856
2020-09-15    39.190    39.300    38.230    39.090    39.090 14105000    11.185
2020-09-16    39.390    40.900    39.190    39.600    39.600 18883300    16.528
2020-09-17    38.850    39.530    38.600    39.350    39.350 12753000    25.042
2020-09-18    39.360    40.240    38.930    40.150    40.150 19493000    20.868
2020-09-21    39.430    40.200    39.220    39.900    39.900 13790000    34.224
2020-09-22    40.370    42.830    40.270    42.730    42.730 22379000    30.050
2020-09-23    43.880    46.820    43.700    45.330    45.330 64803800    53.096
2020-09-24    44.690    45.070    42.660    43.140    43.140 27772800    82.913
2020-09-25    43.210    44.020    42.590    43.840    43.840 15456600    57.798
2020-09-28    44.400    44.420    43.610    44.150    44.150 11672200    65.826
2020-09-29    44.350    45.510    44.290    44.740    44.740 13585100    68.917
2020-09-30    44.620    45.090    43.950    44.500    44.500 12923400    75.786
2020-10-01    45.070    46.720    44.980    46.700    46.700 18687000    72.992
2020-10-02    45.540    46.890    45.430    46.120    46.120 13496800    97.806
2020-10-05    46.460    47.500    46.120    47.310    47.310 11202400    85.113
2020-10-06    47.270    47.870    45.030    45.600    45.600 15666600    93.959
2020-10-07    46.070    46.400    45.740    45.870    45.870 19407700    75.512
2020-10-08    46.440    46.620    45.780    46.010    46.010 11355500    77.629
2020-10-09    46.400    46.410    45.660    45.900    45.900 8285400    78.497
2020-10-12    47.610    48.650    47.410    48.250    48.250 24162400    67.184
2020-10-13    48.280    48.320    46.990    47.000    47.000 9805900    93.399
2020-10-14    47.490    47.700    45.620    45.980    45.980 14449000    72.772
2020-10-15    45.060    46.090    44.300    46.030    46.030 19823800    55.941
2020-10-16    46.360    46.450    45.050    45.810    45.810 13005300    48.016
2020-10-19    46.050    46.300    45.240    45.820    45.820 9870700    39.574
2020-10-20    45.550    46.780    45.460    46.350    46.350 9508400    39.787
2020-10-21    48.970    50.530    48.850    50.240    50.240 30719700    32.905
2020-10-22    50.000    50.340    48.110    50.280    50.280 18289000    95.345
2020-10-23    50.200    50.500    48.940    50.440    50.440 14897700    95.987
2020-10-26    50.000    50.650    48.400    49.000    49.000 22804000    96.693
2020-10-27    49.500    51.510    49.140    51.270    51.270 19306200    65.187
2020-10-28    49.600    50.000    48.250    48.530    48.530 20168100    96.671
2020-10-29    51.950    52.930    50.570    52.430    52.430 55935600    49.015
2020-10-30    44.530    45.180    40.830    41.360    41.360 86346700    95.868
2020-11-02    41.150    41.600    38.930    39.470    39.470 47323500    17.357
2020-11-03    40.030    42.120    40.030    41.730    41.730 33813100     3.857
2020-11-04    42.230    42.930    40.810    42.760    42.760 34717000    20.000
2020-11-05    43.510    44.040    42.480    43.710    43.710 19693600    27.357
2020-11-06    43.510    44.190    42.820    43.120    43.120 17096900    34.143
2020-11-09    43.960    45.180    43.110    43.190    43.190 21244700    29.929
2020-11-10    43.360    43.970    41.610    42.410    42.410 14129200    30.429
2020-11-11    42.970    43.730    42.860    43.630    43.630 11060800    24.857
2020-11-12    43.300    44.150    42.680    42.810    42.810 9104100    33.571
2020-11-13    43.250    43.530    42.420    43.480    43.480 8112900    27.714
2020-11-16    43.500    43.640    42.430    42.730    42.730 14275400    32.500
2020-11-17    42.360    43.430    42.360    42.850    42.850 11288800    27.143
2020-11-18    42.940    44.290    42.800    43.330    43.330 9988700    28.000
2020-11-19    43.120    43.870    42.800    43.620    43.620 13874000    70.400
2020-11-20    43.800    45.320    43.450    44.680    44.680 17045500    73.396
2020-11-23    44.900    45.570    44.180    44.940    44.940 10392100    83.935
2020-11-24    45.130    45.440    44.460    45.230    45.230 9053900    86.765
2020-11-25    44.970    46.850    44.850    46.430    46.430 15076600    69.084
2020-11-27    46.560    47.010    46.200    46.590    46.590 5133300    89.259
2020-11-30    46.520    46.820    44.940    46.510    46.510 9968800    92.222
2020-12-01    46.760    47.270    45.810    46.670    46.670 9080300    86.572
2020-12-02    46.360    47.940    45.930    47.230    47.230 10284000    77.240
2020-12-03    47.170    48.150    47.030    47.790    47.790 7136000    84.111
2020-12-04    47.750    48.340    47.670    47.730    47.730 6275300    90.803
2020-12-07    47.550    48.340    47.070    47.900    47.900 7746200    89.799
2020-12-08    47.790    48.100    46.900    47.430    47.430 7454900    92.642
2020-12-09    47.480    48.740    46.920    47.230    47.230 9244800    77.946
2020-12-10    46.700    51.740    46.540    51.210    51.210 24147200    49.553
2020-12-11    50.620    52.450    49.970    51.440    51.440 18020200    86.222
2020-12-14    51.970    53.480    51.800    52.020    52.020 17418200    78.065
2020-12-15    52.020    52.960    51.610    52.820    52.820 10868700    83.814
2020-12-16    54.770    56.110    53.640    54.030    54.030 29099400    70.782
2020-12-17    54.570    55.170    53.940    54.630    54.630 11739900    81.379
2020-12-18    54.930    56.080    54.270    55.870    55.870 20450300    86.750
2020-12-21    54.500    55.680    53.580    54.640    54.640 10349400    97.670
2020-12-22    55.000    55.680    54.370    54.910    54.910 9259200    85.560
2020-12-23    55.340    55.450    54.230    54.300    54.300 6008600    87.461
2020-12-24    54.520    55.190    53.860    53.970    53.970 3661100    81.087
2020-12-28    55.000    55.180    53.930    54.430    54.430 6829600    77.638
2020-12-29    54.510    55.400    53.550    54.360    54.360 6644800    82.445
2020-12-30    54.690    54.910    54.140    54.330    54.330 5329500    81.714
2020-12-31    54.240    54.310    53.740    54.150    54.150 4832300    81.400
2021-01-04    54.490    55.490    53.580    54.530    54.530 12231600    68.078
2021-01-05    53.410    54.500    53.150    53.880    53.880 8317200    64.889
2021-01-06    53.270    54.520    52.570    53.260    53.260 9260000    50.444
2021-01-07    52.220    53.380    51.460    52.330    52.330 18967600    38.710
2021-01-08    52.500    52.700    50.190    51.480    51.480 16955400    36.333
2021-01-11    47.090    49.490    45.150    48.180    48.180 61647600    57.914
2021-01-12    48.550    49.130    46.560    47.040    47.040 26255100    28.775
2021-01-13    48.090    48.390    47.020    47.220    47.220 19097200    17.949
2021-01-14    47.660    47.660    45.430    45.790    45.790 29748700    20.019
2021-01-15    46.100    46.200    45.080    45.180    45.180 25937300     6.820
2021-01-19    45.590    46.170    44.400    45.930    45.930 19476300     7.033
2021-01-20    46.230    47.920    46.180    47.600    47.600 21432900    13.796
2021-01-21    47.730    48.020    46.500    47.120    47.120 15457900    28.855
2021-01-22    46.900    48.180    46.800    48.060    48.060 13564400    24.527
2021-01-25    48.440    48.950    47.000    47.840    47.840 13642300    33.003
2021-01-26    48.130    52.190    48.020    49.670    49.670 29448500    33.992
2021-01-27    50.640    50.850    47.980    48.190    48.190 22427000    52.075
2021-01-28    49.490    52.250    49.270    51.570    51.570 19974000    42.205
2021-01-29    51.020    52.990    49.880    50.530    50.530 17321500    83.469
2021-02-01    51.200    52.750    51.070    52.660    52.660 13820700    71.362
2021-02-02    52.870    54.870    52.710    54.000    54.000 13977000    78.892
2021-02-03    54.560    55.190    53.700    54.580    54.580 16816300    88.971
2021-02-04    54.790    56.520    54.440    56.510    56.510 10999300    83.993
2021-02-05    56.020    57.440    55.030    56.780    56.780 16889700    92.868
2021-02-08    57.800    59.600    57.380    58.200    58.200 18285200    81.447
2021-02-09    58.640    60.730    58.550    59.870    59.870 38253800    82.612
2021-02-10    65.800    69.250    63.200    67.770    67.770 73649200    58.769
2021-02-11    67.990    69.020    66.580    68.560    68.560 30470000    93.408
2021-02-12    68.560    73.180    68.400    71.900    71.900 38044200    82.353
2021-02-16    72.190    74.840    71.810    73.960    73.960 27748000    89.054
2021-02-17    73.050    73.280    70.130    71.790    71.790 21422600    96.724
2021-02-18    70.740    72.900    70.360    72.260    72.260 16072100    88.072
2021-02-19    72.970    74.960    71.880    72.280    72.280 25911000    89.234
2021-02-22    71.730    73.750    70.420    70.490    70.490 21049600    88.782
2021-02-23    68.450    74.330    66.190    73.170    73.170 32669500    79.910
2021-02-24    73.100    73.950    71.710    71.920    71.920 18309900    91.580
2021-02-25    78.150    80.750    73.890    74.590    74.590 63625700    66.439
2021-02-26    76.870    79.080    75.000    77.060    77.060 35323500    76.050
2021-03-01    78.360    78.730    76.050    77.630    77.630 24359200    84.211
2021-03-02    76.610    77.100    73.560    73.670    73.670 20517000    85.946
2021-03-03    74.010    74.500    70.660    70.860    70.860 19379400    59.658
2021-03-04    70.610    71.780    66.020    66.750    66.750 22538600    32.858
2021-03-05    67.670    67.790    61.520    66.950    66.950 22346200    27.197
2021-03-08    67.400    68.640    63.420    63.480    63.480 21722000    28.237
2021-03-09    65.720    68.210    64.600    67.520    67.520 22603900    10.192
2021-03-10    69.460    69.460    64.590    64.830    64.830 22464200    31.201
2021-03-11    66.370    68.740    65.830    68.460    68.460 14722200    17.213
2021-03-12    67.720    68.820    66.640    68.100    68.100 15414000    36.089
2021-03-15    68.240    70.490    67.180    70.280    70.280 15467200    34.217
2021-03-16    71.070    71.860    68.570    69.250    69.250 13216100    45.554
2021-03-17    68.320    70.820    66.960    70.200    70.200 15681600    40.198
2021-03-18    69.210    69.900    66.680    66.720    66.720 15835600    49.431
2021-03-19    67.110    67.110    65.770    66.230    66.230 20721600    30.215
2021-03-22    66.890    66.890    64.350    65.210    65.210 24123800    30.231
2021-03-23    65.150    65.630    64.110    64.270    64.270 17788600    28.428
2021-03-24    64.950    64.950    62.050    62.060    62.060 15475500    26.596
2021-03-25    60.200    62.010    59.570    61.200    61.200 19197200    20.260
2021-03-26    61.520    61.870    59.280    61.260    61.260 15582600    15.262
2021-03-29    62.000    64.960    61.710    62.940    62.940 22034500    15.739
2021-03-30    62.300    64.100    61.900    62.990    62.990 12533300    29.094
2021-03-31    63.980    64.980    63.270    63.630    63.630 14479800    29.491
2021-04-01    64.680    66.360    63.640    63.830    63.830 15261000    34.579
2021-04-05    64.140    64.340    61.810    64.240    64.240 15502100    36.169
2021-04-06    64.670    67.650    64.300    67.000    67.000 15587900    39.428
2021-04-07    66.640    69.970    66.080    68.990    68.990 23964600    66.898
2021-04-08    69.910    71.450    69.280    71.220    71.220 16843400    79.786
2021-04-09    70.350    71.450    69.910    71.190    71.190 15659500    98.110
2021-04-12    70.870    71.840    69.650    70.860    70.860 9495200    94.825
2021-04-13    71.720    72.780    70.730    72.450    72.450 9991700    85.778
2021-04-14    72.510    73.220    69.500    69.740    69.740 12931200    94.476
2021-04-15    70.550    71.880    70.170    71.710    71.710 11108300    75.036
2021-04-16    71.970    72.200    69.680    70.120    70.120 9429900    89.168
2021-04-19    69.620    69.920    66.770    67.940    67.940 18198600    73.067
2021-04-20    68.010    68.100    65.220    65.700    65.700 14171200    53.725
2021-04-21    65.730    67.360    64.700    67.330    67.330 11817300    34.093
2021-04-22    67.420    67.500    64.080    64.310    64.310 16804100    48.379
2021-04-23    65.720    67.130    65.430    67.020    67.020 12407700    21.911
2021-04-26    66.490    67.250    65.850    66.720    66.720 11769800    32.166
2021-04-27    67.140    68.360    66.000    66.010    66.010 10827000    28.884
2021-04-28    65.550    66.560    63.740    65.700    65.700 13340300    23.945
2021-04-29    67.010    67.050    63.990    65.090    65.090 31017700    20.675
2021-04-30    56.000    57.630    55.050    55.220    55.220 88378800    55.256
2021-05-03    55.520    55.550    52.670    54.580    54.580 79649000    12.409
